date_time,demand,station_load,vehicle_type,hour,day,weekday,price
2025-01-01 00:00:00,67,0.74,3W,0,1,2,47.57
2025-01-01 01:00:00,50,0.56,3W,1,1,2,38.09
2025-01-01 02:00:00,7,0.08,4W,2,1,2,19.82
2025-01-01 03:00:00,51,0.57,4W,3,1,2,40.54
2025-01-01 04:00:00,6,0.07,2W,4,1,2,15.31
2025-01-01 05:00:00,7,0.08,2W,5,1,2,16.91
2025-01-01 06:00:00,6,0.07,4W,6,1,2,18.84
2025-01-01 07:00:00,33,0.37,4W,7,1,2,39.38
2025-01-01 08:00:00,59,0.66,4W,8,1,2,50.11
2025-01-01 09:00:00,61,0.68,4W,9,1,2,50.82
2025-01-01 10:00:00,84,0.93,2W,10,1,2,56.42
2025-01-01 11:00:00,29,0.32,2W,11,1,2,28.4
2025-01-01 12:00:00,54,0.6,4W,12,1,2,43.63
2025-01-01 13:00:00,46,0.51,3W,13,1,2,37.11
2025-01-01 14:00:00,7,0.08,2W,14,1,2,15.47
2025-01-01 15:00:00,19,0.21,2W,15,1,2,21.42
2025-01-01 16:00:00,20,0.22,4W,16,1,2,26.64
2025-01-01 17:00:00,7,0.08,2W,17,1,2,22.22
2025-01-01 18:00:00,14,0.16,4W,18,1,2,26.87
2025-01-01 19:00:00,4,0.04,2W,19,1,2,18.06
2025-01-01 20:00:00,52,0.58,4W,20,1,2,46.35
2025-01-01 21:00:00,46,0.51,3W,21,1,2,36.77
2025-01-01 22:00:00,78,0.87,2W,22,1,2,52.56
2025-01-01 23:00:00,72,0.8,4W,23,1,2,53.81
2025-01-02 00:00:00,41,0.46,4W,0,2,3,36.73
2025-01-02 01:00:00,26,0.29,2W,1,2,3,24.61
2025-01-02 02:00:00,61,0.68,3W,2,2,3,44.71
2025-01-02 03:00:00,10,0.11,4W,3,2,3,22.62
2025-01-02 04:00:00,48,0.53,3W,4,2,3,39.89
2025-01-02 05:00:00,12,0.13,4W,5,2,3,20.99
2025-01-02 06:00:00,7,0.08,3W,6,2,3,15.82
2025-01-02 07:00:00,2,0.02,2W,7,2,3,17.64
2025-01-02 08:00:00,40,0.44,3W,8,2,3,37.5
2025-01-02 09:00:00,61,0.68,3W,9,2,3,48.32
2025-01-02 10:00:00,72,0.8,4W,10,2,3,52.44
2025-01-02 11:00:00,5,0.06,3W,11,2,3,17.56
2025-01-02 12:00:00,39,0.43,3W,12,2,3,35.49
2025-01-02 13:00:00,76,0.84,3W,13,2,3,51.54
2025-01-02 14:00:00,60,0.67,2W,14,2,3,42.74
2025-01-02 15:00:00,36,0.4,2W,15,2,3,30.55
2025-01-02 16:00:00,89,0.99,4W,16,2,3,63.44
2025-01-02 17:00:00,20,0.22,4W,17,2,3,30.0
2025-01-02 18:00:00,49,0.54,2W,18,2,3,40.0
2025-01-02 19:00:00,71,0.79,4W,19,2,3,55.61
2025-01-02 20:00:00,30,0.33,3W,20,2,3,36.21
2025-01-02 21:00:00,78,0.87,2W,21,2,3,53.09
2025-01-02 22:00:00,53,0.59,4W,22,2,3,43.66
2025-01-02 23:00:00,37,0.41,2W,23,2,3,29.21
2025-01-03 00:00:00,78,0.87,4W,0,3,4,56.32
2025-01-03 01:00:00,86,0.96,2W,1,3,4,57.97
2025-01-03 02:00:00,16,0.18,4W,2,3,4,22.99
2025-01-03 03:00:00,10,0.11,3W,3,3,4,18.77
2025-01-03 04:00:00,24,0.27,2W,4,3,4,24.09
2025-01-03 05:00:00,33,0.37,2W,5,3,4,27.86
2025-01-03 06:00:00,70,0.78,4W,6,3,4,50.07
2025-01-03 07:00:00,54,0.6,4W,7,3,4,48.64
2025-01-03 08:00:00,64,0.71,2W,8,3,4,48.19
2025-01-03 09:00:00,32,0.36,4W,9,3,4,38.58
2025-01-03 10:00:00,34,0.38,4W,10,3,4,31.4
2025-01-03 11:00:00,44,0.49,2W,11,3,4,33.25
2025-01-03 12:00:00,8,0.09,2W,12,3,4,17.04
2025-01-03 13:00:00,86,0.96,2W,13,3,4,54.93
2025-01-03 14:00:00,36,0.4,2W,14,3,4,30.08
2025-01-03 15:00:00,90,1.0,3W,15,3,4,60.94
2025-01-03 16:00:00,80,0.89,2W,16,3,4,54.69
2025-01-03 17:00:00,29,0.32,2W,17,3,4,31.4
2025-01-03 18:00:00,75,0.83,3W,18,3,4,58.52
